Station Name: FINNER
Station Height: 33 M 
Latitude:54.494  ,Longitude: -8.243


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
27-jan-2011,0,5.4,0,-1.7, , ,0,0.0,1021.2,5.0,0,9,0,90,0,14, , , , , , ,287
28-jan-2011,0,3.8,0,-0.3, , ,0,0.0,1022.3,2.4,0,5,0,340,0,10, , , , , , ,234
29-jan-2011,0,4.5,0,-3.5, , ,0,0.0,1022.2,2.2,0,5,0,120,0,6, , , , , , ,401
30-jan-2011,0,6.1,0,-0.3, , ,0,0.0,1019.5,5.3,0,13,0,210,0,16, , , , , , ,210
31-jan-2011,0,10.1,0,4.9, , ,0,3.9,1013.5,15.6,0,24,0,210,0,34, , , , , , ,259
01-feb-2011,0,9.8,0,6.1, , ,0,0.6,1013.6,12.9,0,23,0,190,0,37, , , , , , ,472
02-feb-2011,0,10.9,0,3.1, , ,0,6.4,1006.6,19.3,0,27,0,210,0,42, , , , , , ,285
03-feb-2011,0,9.2,0,2.5, , ,0,8.1,1002.0,24.7,0,39,0,250,0,57, , , , , , ,208
04-feb-2011,0,12.9,0,4.9, , ,0,9.5,995.2,22.9,0,39,0,230,0,54, , , , , , ,99
05-feb-2011,0,8.0,0,5.1, , ,0,8.0,1001.8,7.2,0,19,0,250,0,28, , , , , , ,150
06-feb-2011,0,7.1,0,4.8, , ,0,6.3,1002.9,4.5,0,9,0,270,0,13, , , , , , ,308
07-feb-2011,0,7.7,0,1.9, , ,0,28.6,1000.4,12.5,0,23,0,280,0,35, , , , , , ,444
08-feb-2011,0,9.3,0,1.8, , ,0,0.4,1006.9,10.9,0,18,0,130,0,29, , , , , , ,276
09-feb-2011,0,10.1,0,5.8, , ,0,6.4,1003.5,7.6,0,16,0,200,0,25, , , , , , ,103
10-feb-2011,0,8.1,0,0.3, , ,0,0.0,1004.2,6.8,0,15,0,120,0,20, , , , , , ,663
11-feb-2011,0,11.1,0,3.5, , ,0,2.9,1000.9,8.5,0,15,0,160,0,22, , , , , , ,229
12-feb-2011,0,7.7,0,1.3, , ,0,3.5,996.6,9.6,0,22,0,170,0,34, , , , , , ,377
13-feb-2011,0,7.1,0,1.3, , ,0,0.2,988.3,3.6,0,10,0,250,0,12, , , , , , ,414
14-feb-2011,0,6.6,0,0.7, , ,0,2.4,987.8,8.5,0,21,0,230,0,28, , , , , , ,626
15-feb-2011,0,6.6,0,0.3, , ,0,2.5,979.4,10.8,0,17,0,110,0,27, , , , , , ,209
16-feb-2011,0,9.7,0,0.3, , ,0,0.5,985.3,6.0,0,12,0,210,0,18, , , , , , ,777
17-feb-2011,0,8.1,0,-1.0, , ,0,0.0,998.5,4.8,0,8,0,120,0,12, , , , , , ,599
18-feb-2011,0,8.8,0,2.7, , ,0,11.6,998.2,11.5,0,18,0,120,0,29, , , , , , ,214
19-feb-2011,0,11.5,0,5.7, , ,0,0.0,998.9,8.1,0,17,0,160,0,24, , , , , , ,694
20-feb-2011,0,10.4,0,7.2, , ,0,1.2,1001.7,13.1,0,17,0,120,0,27, , , , , , ,264
21-feb-2011,0,10.8,0,6.3, , ,0,0.6,1003.6,5.3,0,13,0,170,0,18, , , , , , ,701
22-feb-2011,0,11.4,0,7.1, , ,0,5.7,1004.5,6.4,0,11,0,210,0,16, , , , , , ,181
23-feb-2011,0,13.6,0,10.1, , ,0,0.8,1003.6,12.7,0,22,0,200,0,31, , , , , , ,470
24-feb-2011,0,13.7,0,10.2, , ,0,0.0,1008.3,14.2,0,20,0,200,0,32, , , , , , ,626
25-feb-2011,0,13.2,0,7.1, , ,0,5.2,1007.5,14.3,0,23,0,200,0,35, , , , , , ,652
26-feb-2011,0,8.6,0,4.5, , ,0,1.5,1011.8,12.2,0,18,0,280,0,28, , , , , , ,839
27-feb-2011,0,9.5,0,1.0, , ,0,5.0,1021.4,11.2,0,20,0,290,0,34, , , , , , ,1015
28-feb-2011,0,9.4,0,-0.6, , ,0,0.0,1030.6,2.9,0,6,0,120,0,9, , , , , , ,921
01-mar-2011,0,11.2,0,3.6, , ,0,0.1,1034.1,5.0,0,12,0,180,0,18, , , , , , ,1082
02-mar-2011,0,9.5,0,2.1, , ,0,0.0,1032.4,4.8,0,11,0,190,0,17, , , , , , ,643
03-mar-2011,0,11.7,0,2.9, , ,0,0.0,1033.4,4.4,0,8,0,110,0,12, , , , , , ,1016
04-mar-2011,0,8.4,0,1.6, , ,0,0.0,1030.3,3.8,0,8,0,110,0,10, , , , , , ,282
05-mar-2011,0,10.8,0,4.6, , ,0,0.1,1028.1,4.6,0,9,0,110,0,12, , , , , , ,552
06-mar-2011,0,8.0,0,5.2, , ,0,0.2,1026.3,5.8,0,10,0,110,0,13, , , , , , ,243
07-mar-2011,0,9.9,0,5.3, , ,0,0.2,1021.6,4.6,0,10,0,200,0,13, , , , , , ,474
08-mar-2011,0,10.1,0,4.8, , ,0,2.6,1011.3,16.1,0,28,0,280,0,41, , , , , , ,444
09-mar-2011,0,9.3,0,3.1, , ,0,5.2,1003.7,22.7,0,31,0,270,0,43, , , , , , ,697
10-mar-2011,0,8.8,0,2.7, , ,0,4.2,1001.6,24.7,0,36,0,250,0,48, , , , , , ,775
11-mar-2011,0,6.3,0,1.4, , ,0,6.2,1002.0,8.1,0,21,0,240,0,27, , , , , , ,405
12-mar-2011,0,5.5,0,0.4, , ,0,7.6,995.2,5.1,0,12,0,340,0,17, , , , , , ,506
13-mar-2011,0,5.7,0,2.7, , ,0,5.4,999.7,14.9,0,24,0,20,0,34, , , , , , ,649
14-mar-2011,0,7.7,0,2.0, , ,0,0.4,1010.0,8.7,0,19,0,20,0,29, , , , , , ,637
15-mar-2011,0,8.4,0,0.5, , ,0,0.0,1012.6,4.4,0,8,0,280,0,11, , , , , , ,1432
16-mar-2011,0,12.1,0,-0.0, , ,0,0.0,1010.1,7.4,0,12,0,200,0,19, , , , , , ,1466
17-mar-2011,0,8.2,0,0.7, , ,0,1.8,1011.6,9.5,0,16,0,290,0,22, , , , , , ,1047
18-mar-2011,0,8.8,0,-0.2, , ,0,1.9,1020.2,7.2,0,15,0,210,0,19, , , , , , ,958
19-mar-2011,0,11.4,0,0.5, , ,0,0.1,1022.4,9.4,0,15,0,160,0,24, , , , , , ,878
20-mar-2011,0,12.4,0,7.5, , ,0,0.1,1021.1,9.9,0,14,0,250,0,20, , , , , , ,742
21-mar-2011,0,16.0,0,7.9, , ,0,0.4,1026.8,9.2,0,18,0,230,0,28, , , , , , ,968
22-mar-2011,0,13.0,0,8.1, , ,0,0.0,1032.8,4.8,0,10,0,240,0,13, , , , , , ,454
23-mar-2011,0,14.8,0,5.3, , ,0,0.0,1034.8,4.4,0,8,0,310,0,11, , , , , , ,1161
24-mar-2011,0,16.4,0,2.9, , ,0,0.0,1029.4,5.3,0,9,0,120,0,12, , , , , , ,1540
25-mar-2011,0,12.9,0,2.6, , ,0,0.0,1020.2,6.3,0,12,0,60,0,18, , , , , , ,1511
26-mar-2011,0,13.3,0,4.9, , ,0,0.0,1013.5,3.9,0,10,0,30,0,15, , , , , , ,1122
27-mar-2011,0,12.3,0,3.3, , ,0,0.0,1012.5,4.6,0,8,0,320,0,12, , , , , , ,1493
28-mar-2011,0,11.2,0,1.9, , ,0,0.0,1010.6,5.4,0,8,0,110,0,11, , , , , , ,991
29-mar-2011,0,11.4,0,5.3, , ,0,0.5,1004.3,5.9,0,9,0,120,0,14, , , , , , ,346
30-mar-2011,0,13.3,0,8.5, , ,0,1.3,996.5,10.4,0,20,0,260,0,25, , , , , , ,1351
31-mar-2011,0,15.3,0,8.9, , ,0,3.0,992.1,16.2,0,48,0,260,0,64, , , , , , ,1257
01-apr-2011,0,15.9,0,6.6, , ,0,14.0,995.4,16.3,0,23,0,180,0,37, , , , , , ,534
02-apr-2011,0,13.6,0,5.3, , ,0,7.7,998.2,8.9,0,20,0,210,0,34, , , , , , ,1430
03-apr-2011,0,11.5,0,5.6, , ,0,0.1,1005.0,12.1,0,22,0,260,0,30, , , , , , ,1457
04-apr-2011,0,15.4,0,6.3, , ,0,4.7,1002.2,18.8,0,30,0,190,0,42, , , , , , ,1196
05-apr-2011,0,14.9,0,11.9, , ,0,3.8,1002.6,15.4,0,20,0,230,0,29, , , , , , ,435
06-apr-2011,0,15.9,0,9.0, , ,0,6.6,1013.1,15.1,0,21,0,200,0,29, , , , , , ,573
07-apr-2011,0,11.9,0,6.8, , ,0,0.1,1022.9,7.7,0,10,0,280,0,14, , , , , , ,1970
08-apr-2011,0,18.2,0,3.6, , ,0,0.0,1023.1,5.0,0,11,0,120,0,13, , , , , , ,1737
09-apr-2011,0,19.1,0,7.7, , ,0,0.0,1017.1,9.3,0,16,0,150,0,24, , , , , , ,1271
10-apr-2011,0,17.3,0,9.9, , ,0,0.0,1017.8,6.5,0,17,0,220,0,21, , , , , , ,1019
11-apr-2011,0,12.3,0,4.9, , ,0,3.0,1019.7,15.6,0,25,0,260,0,36, , , , , , ,1776
12-apr-2011,0,12.2,0,4.9, , ,0,1.0,1021.0,12.8,0,20,0,270,0,35, , , , , , ,1529
13-apr-2011,0,15.9,0,5.3, , ,0,7.8,1011.2,10.0,0,18,0,180,0,30, , , , , , ,1032
14-apr-2011,0,12.2,0,8.2, , ,0,0.0,1011.7,6.2,0,11,0,280,0,15, , , , , , ,1318
