Station Name: NEWPORT
Station Height: 22 M 
Latitude:53.924  ,Longitude: -9.573


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
22-feb-2005,0,6.1,0,1.8, , ,0,0.0,1020.6,10.4,0,16,0,80,0,26, , , , , , ,773
23-feb-2005,0,5.7,0,0.3, , ,0,0.0,1019.8,7.5,0,13,0,80,0,21, , , , , , ,630
24-feb-2005,0,4.8,0,0.5, , ,0,0.0,1022.7,9.2,0,14,0,10,0,23, , , , , , ,591
25-feb-2005,0,7.2,0,2.0, , ,0,0.0,1023.8,9.2,0,14,0,20,0,23, , , , , , ,601
26-feb-2005,0,8.2,0,0.4, , ,0,0.0,1025.1,6.9,0,13,0,10,0,22, , , , , , ,514
27-feb-2005,0,8.6,0,3.9, , ,0,0.0,1028.7,3.8,0,10,0,20,0,14, , , , , , ,492
28-feb-2005,0,8.7,0,2.3, , ,0,1.4,1019.0,7.8,0,22,0,310,0,33, , , , , , ,565
01-mar-2005,0,6.0,0,1.7, , ,0,0.6,1005.9,10.9,0,22,0,310,0,29, , , , , , ,747
02-mar-2005,0,6.0,0,1.5, , ,0,0.0,1012.3,10.9,0,22,0,0,0,34, , , , , , ,638
03-mar-2005,0,9.1,0,0.9, , ,0,0.2,1020.4,7.1,0,21,0,310,0,28, , , , , , ,766
04-mar-2005,0,9.3,0,6.7, , ,0,1.8,1018.2,19.5,0,28,0,330,0,36, , , , , , ,746
05-mar-2005,0,8.4,0,4.2, , ,0,2.2,1022.0,15.0,0,25,0,330,0,32, , , , , , ,955
06-mar-2005,0,10.6,0,1.5, , ,0,0.0,1028.9,4.6,0,11,0,350,0,15, , , , , , ,1228
07-mar-2005,0,9.0,0,2.1, , ,0,0.4,1032.1,4.8,0,14,0,350,0,21, , , , , , ,736
08-mar-2005,0,8.4,0,2.9, , ,0,0.1,1033.7,5.4,0,13,0,340,0,18, , , , , , ,674
09-mar-2005,0,9.1,0,2.5, , ,0,0.3,1034.7,4.8,0,15,0,350,0,19, , , , , , ,683
10-mar-2005,0,9.3,0,4.9, , ,0,0.0,1029.2,7.7,0,17,0,290,0,24, , , , , , ,276
11-mar-2005,0,8.9,0,5.4, , ,0,1.4,1019.5,14.2,0,23,0,280,0,32, , , , , , ,507
12-mar-2005,0,6.8,0,2.1, , ,0,1.0,1014.5,7.2,0,23,0,340,0,32, , , , , , ,651
13-mar-2005,0,7.9,0,1.9, , ,0,0.0,1009.6,3.9,0,12,0,0,0,15, , , , , , ,865
14-mar-2005,0,10.4,0,3.2, , ,0,11.8,1000.2,11.8,0,20,0,210,0,31, , , , , , ,189
15-mar-2005,0,13.5,0,9.5, , ,0,5.0,996.7,17.5,0,30,0,210,0,41, , , , , , ,182
16-mar-2005,0,13.7,0,11.0, , ,0,1.9,999.9,21.0,0,30,0,200,0,46, , , , , , ,684
17-mar-2005,0,12.8,0,10.5, , ,0,4.4,1011.4,13.9,0,20,0,210,0,29, , , , , , ,285
18-mar-2005,0,14.5,0,9.1, , ,0,0.4,1019.5,8.6,0,16,0,210,0,23, , , , , , ,719
19-mar-2005,0,18.9,0,6.9, , ,0,0.0,1017.3,11.3,0,20,0,120,0,28, , , , , , ,1346
20-mar-2005,0,15.8,0,9.6, , ,0,0.6,1007.7,15.3,0,26,0,110,0,33, , , , , , ,951
21-mar-2005,0,12.3,0,8.9, , ,0,5.6,994.2,8.5,0,15,0,120,0,18, , , , , , ,586
22-mar-2005,0,13.6,0,9.4, , ,0,1.4,988.4,14.7,0,27,0,200,0,38, , , , , , ,773
23-mar-2005,0,13.6,0,8.1, , ,0,1.8,997.9,14.4,0,23,0,120,0,30, , , , , , ,908
24-mar-2005,0,14.0,0,9.6, , ,0,3.2,1000.3,12.8,0,22,0,190,0,30, , , , , , ,499
25-mar-2005,0,17.0,0,7.3, , ,0,0.0,1007.6,8.7,0,15,0,140,0,19, , , , , , ,1481
26-mar-2005,0,14.5,0,7.2, , ,0,0.0,1007.5,7.6,0,13,0,90,0,19, , , , , , ,1155
27-mar-2005,0,11.6,0,6.5, , ,0,0.0,1007.8,4.9,0,10,0,80,0,15, , , , , , ,714
28-mar-2005,0,10.9,0,7.5, , ,0,1.3,1008.2,5.3,0,11,0,340,0,14, , , , , , ,417
29-mar-2005,0,10.6,0,7.0, , ,0,3.4,1009.3,4.4,0,9,0,140,0,13, , , , , , ,457
30-mar-2005,0,12.7,0,6.5, , ,0,1.8,1015.4,3.7,0,9,0,80,0,13, , , , , , ,792
31-mar-2005,0,11.1,0,6.1, , ,0,9.0,1014.9,13.4,0,23,0,160,0,30, , , , , , ,813
01-apr-2005,0,13.9,0,9.0, , ,0,6.1,1012.7,7.5,0,14,0,120,0,19, , , , , , ,1223
02-apr-2005,0,16.8,0,7.5, , ,0,0.0,1012.3,9.2,0,17,0,130,0,24, , , , , , ,1608
03-apr-2005,0,12.1,0,6.0, , ,0,0.2,1010.8,8.8,0,22,0,340,0,26, , , , , , ,1071
04-apr-2005,0,9.1,0,4.2, , ,0,6.8,1014.0,12.3,0,24,0,260,0,36, , , , , , ,1018
05-apr-2005,0,9.6,0,5.3, , ,0,20.4,1008.2,9.2,0,18,0,200,0,29, , , , , , ,760
06-apr-2005,0,8.9,0,2.8, , ,0,10.2,995.9,16.6,0,32,0,290,0,43, , , , , , ,1039
07-apr-2005,0,8.0,0,2.0, , ,0,7.8,1004.1,24.4,0,37,0,320,0,50, , , , , , ,1040
08-apr-2005,0,6.6,0,1.8, , ,0,1.6,1021.1,13.0,0,28,0,350,0,38, , , , , , ,1176
09-apr-2005,0,10.8,0,3.8, , ,0,2.9,1024.4,11.5,0,22,0,300,0,31, , , , , , ,907
10-apr-2005,0,13.6,0,7.4, , ,0,0.0,1024.5,9.6,0,16,0,280,0,25, , , , , , ,1384
11-apr-2005,0,12.7,0,7.6, , ,0,5.2,1022.2,11.7,0,19,0,210,0,31, , , , , , ,640
12-apr-2005,0,10.7,0,5.6, , ,0,2.7,1015.2,8.3,0,21,0,310,0,30, , , , , , ,1087
13-apr-2005,0,8.7,0,4.1, , ,0,13.0,1003.2,6.8,0,19,0,330,0,25, , , , , , ,679
14-apr-2005,0,9.6,0,3.8, , ,0,3.1,1003.2,16.3,0,28,0,350,0,34, , , , , , ,1546
15-apr-2005,0,9.2,0,4.1, , ,0,0.3,1012.7,14.6,0,24,0,0,0,32, , , , , , ,2071
16-apr-2005,0,11.4,0,2.4, , ,0,0.0,1006.0,5.4,0,14,0,130,0,19, , , , , , ,1427
17-apr-2005,0,11.4,0,4.8, , ,0,12.1,989.1,13.2,0,26,0,140,0,38, , , , , , ,1010
18-apr-2005,0,12.1,0,4.0, , ,0,2.4,992.1,7.5,0,18,0,310,0,23, , , , , , ,2161
19-apr-2005,0,14.1,0,2.0, , ,0,0.0,1004.6,5.8,0,17,0,0,0,20, , , , , , ,1782
20-apr-2005,0,13.0,0,5.3, , ,0,0.0,1013.8,9.6,0,17,0,90,0,22, , , , , , ,1822
21-apr-2005,0,14.5,0,4.1, , ,0,0.0,1012.7,8.8,0,15,0,130,0,22, , , , , , ,1881
22-apr-2005,0,13.7,0,6.4, , ,0,1.7,1005.9,12.5,0,19,0,100,0,31, , , , , , ,598
23-apr-2005,0,12.3,0,8.1, , ,0,0.0,1005.4,7.2,0,13,0,80,0,20, , , , , , ,596
24-apr-2005,0,15.2,0,9.3, , ,0,0.2,1006.8,6.6,0,12,0,120,0,16, , , , , , ,1048
